AAPL,Apple Inc,Information Technology,USA,98.41
MSFT,Microsoft Corp,Information Technology,USA,93.68
GOOG,Alphabet Inc Class C,Communication Services,USA,99.51
GOOGL,Alphabet Inc Class A,Communication Services,USA,99.57
AMZN,Amazon-Com Inc-,Consumer Discretionary,USA,99.75
TSLA,Tesla Inc,Consumer Discretionary,USA,61.57
BRK-B,Berkshire Hathaway Inc- Class B,Financials,USA,100.0
NVDA,Nvidia Corp,Information Technology,USA,92.86
FB,Facebook Inc Class A,Communication Services,USA,98.32
V,Visa Inc Class A,Information Technology,USA,99.18
JPM,JP Morgan Chase & Co,Financials,USA,94.12
UNH,Unitedhealth Group Inc,Health Care,USA,98.81
JNJ,Johnson & Johnson,Health Care,USA,91.86
PG,Procter & Gamble,Consumer Staples,USA,93.88
WMT,Walmart Stores Inc,Consumer Staples,USA,93.84
BAC,Bank of America Corp,Financials,USA,92.98
HD,Home Depot Inc,Consumer Discretionary,USA,98.26
MA,Mastercard Inc Class A,Information Technology,USA,98.73
XOM,Exxon Mobil Corp,Energy,USA,61.43
DIS,Walt Disney,Communication Services,USA,96.41
PFE,Pfizer Inc,Health Care,USA,96.63
KO,Coca-Cola,Consumer Staples,USA,94.05
CVX,Chevron Corp,Energy,USA,94.37
ABBV,Abbvie Inc,Health Care,USA,93.58
AVGO,Broadcom Inc-,Information Technology,USA,100.0
CSCO,Cisco Systems Inc,Information Technology,USA,93.94
WFC,Wells Fargo,Financials,USA,77.24
PEP,Pepsico Inc,Consumer Staples,USA,93.24
LLY,Eli Lilly,Health Care,USA,83.46
COST,Costco Wholesale Corp,Consumer Staples,USA,99.42
VZ,Verizon Communications Inc,Communication Services,USA,95.83
NKE,Nike Inc Class B,Consumer Discretionary,USA,98.29
ADBE,Adobe Inc,Information Technology,USA,98.07
ABT,Abbott Laboratories,Health Care,USA,97.18
TMO,Thermo Fisher Scientific Inc,Health Care,USA,100.0
ACN,Accenture Plc Class A,Information Technology,USA,95.2
CMCSA,Comcast A Corp,Communication Services,USA,98.67
ORCL,Oracle Corp,Information Technology,USA,95.77
CRM,Salesforce-Com Inc,Information Technology,USA,97.93
INTC,Intel Corporation Corp,Information Technology,USA,79.4
MRK,Merck & Co Inc,Health Care,USA,98.06
DHR,Danaher Corp,Health Care,USA,99.1
QCOM,Qualcomm Inc,Information Technology,USA,96.41
MCD,Mcdonalds Corp,Consumer Discretionary,USA,100.0
UPS,United Parcel Service Inc Class B,Industrials,USA,81.98
PM,Philip Morris International Inc,Consumer Staples,USA,92.19
MS,Morgan Stanley,Financials,USA,93.59
NFLX,Netflix Inc,Communication Services,USA,85.19
T,AT&T Inc-,Communication Services,USA,91.95
SCHW,Charles Schwab Corporation,Financials,USA,90.14
UNP,Union Pacific Corp,Industrials,USA,95.86
TMUS,T Mobile US Inc,Communication Services,USA,97.48
TXN,Texas Instrument Inc,Information Technology,USA,75.0
LOW,Lowes Companies Inc,Consumer Discretionary,USA,98.36
AXP,American Express,Financials,USA,75.68
NEE,Nextera Energy Inc,Utilities,USA,100.0
BMY,Bristol Myers Squibb,Health Care,USA,91.03
RTX,Raytheon Technologies Corporation,Industrials,USA,100.0
MDT,Medtronic Plc,Health Care,USA,99.38
INTU,Intuit Inc,Information Technology,USA,92.44
AMD,Advanced Micro Devices Inc,Information Technology,USA,82.99
CVS,CVS Health Corp,Health Care,USA,100.0
C,Citigroup Inc,Financials,USA,100.0
HON,Honeywell International Inc,Industrials,USA,100.0
AMGN,Amgen Inc,Health Care,USA,97.56
BA,Boeing,Industrials,USA,87.4
PYPL,Paypal Holdings Inc,Information Technology,USA,97.53
AMAT,Applied Material Inc,Information Technology,USA,97.91
COP,ConocoPhillips,Energy,USA,91.25
DE,Deere & Company,Industrials,USA,82.39
GS,Goldman Sachs Group Inc,Financials,USA,89.52
BLK,Blackrock Inc,Financials,USA,100.0
NOW,Servicenow Inc,Information Technology,USA,99.14
IBM,International Business Machines Co,Information Technology,USA,80.52
EL,Estee Lauder Inc Class A,Consumer Staples,USA,97.08
ANTM,Anthem Inc,Health Care,USA,100.0
GE,General Electric,Industrials,USA,88.04
BKNG,Booking Holdings Inc,Consumer Discretionary,USA,98.48
CHTR,Charter Communications Inc Class A,Communication Services,USA,95.45
SBUX,Starbucks Corp,Consumer Discretionary,USA,100.0
LMT,Lockheed Martin Corp,Industrials,USA,91.25
MU,Micron Technology Inc,Information Technology,USA,92.98
CAT,Caterpillar Inc,Industrials,USA,81.41
ISRG,Intuitive Surgical Inc,Health Care,USA,90.24
TGT,Target Corp,Consumer Discretionary,USA,88.1
SYK,Stryker Corp,Health Care,USA,93.55
MO,Altria Group Inc,Consumer Staples,USA,90.91
MDLZ,Mondelez International Inc,Consumer Staples,USA,97.4
SPGI,S&P Global Inc,Financials,USA,100.0
ZTS,Zoetis Inc,Health Care,USA,92.96
CB,Chubb Ltd,Financials,USA,80.68
CME,CME Group Inc Class A,Financials,USA,80.95
PNC,"PNC Financial Services Group, Inc-",Financials,USA,92.0
MMM,3M,Industrials,USA,56.82
USB,US Bancorp,Financials,USA,67.47
BX,Blackstone Group Inc- Class A,Financials,USA,100.0
ADP,Automatic Data Processing Inc,Information Technology,USA,81.82
ADI,Analog Devices Inc,Information Technology,USA,97.74
TFC,Truist Financial Corporation,Financials,USA,94.12
SNOW,Snowflake Inc- Class A,Information Technology,USA,94.29
LRCX,Lam Research Corp,Information Technology,USA,96.7
HCA,"HCA Healthcare, Inc-",Health Care,USA,95.42
TJX,"TJX Companies, Inc-",Consumer Discretionary,USA,98.56
CSX,CSX Corp,Industrials,USA,87.42
GILD,Gilead Sciences Inc,Health Care,USA,94.44
TEAM,Atlassian Plc Class A,Information Technology,United Kingdom,98.75
MMC,Marsh & McLennan Inc,Financials,USA,89.23
DUK,Duke Energy Corp,Utilities,USA,87.23
BDX,Becton Dickinson,Health Care,USA,87.72
CI,Cigna Corp,Health Care,USA,98.58
GM,General Motors,Consumer Discretionary,USA,95.62
SHW,Sherwin Williams,Materials,USA,95.04
NSC,Norfolk Southern Corp,Industrials,USA,74.45
ICE,Intercontinental Exchange Inc,Financials,USA,100.0
F,Ford Motor Company,Consumer Discretionary,USA,88.42
SO,Southern Co,Utilities,USA,41.3
ITW,Illinois Tool Inc,Industrials,USA,63.74
EW,Edwards Lifesciences Corp,Health Care,USA,93.44
CL,Colgate-Palmolive,Consumer Staples,USA,86.79
UBER,"Uber Technologies, Inc-",Industrials,USA,100.0
REGN,Regeneron Pharmaceuticals Inc,Health Care,USA,95.33
EOG,EOG Resources Inc,Energy,USA,96.71
COF,Capital One Financial Corp,Financials,USA,94.53
D,Dominion Energy Inc,Utilities,USA,94.83
ATVI,Activision Blizzard Inc,Communication Services,USA,98.35
